Id,País,2009_Quantidade,2009_Valor,2010_Quantidade,2010_Valor,2011_Quantidade,2011_Valor,2012_Quantidade,2012_Valor,2013_Quantidade,2013_Valor,2014_Quantidade,2014_Valor,2015_Quantidade,2015_Valor,2016_Quantidade,2016_Valor,2017_Quantidade,2017_Valor,2018_Quantidade,2018_Valor,2019_Quantidade,2019_Valor,2020_Quantidade,2020_Valor,2021_Quantidade,2021_Valor,2022_Quantidade,2022_Valor,2023_Quantidade,2023_Valor,Categoria
1,África do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,44,Espumante
2,Alemanha,6648.0,29018.0,1958.0,6877.0,1976.0,12018.0,833.0,5072.0,5809.0,30461.0,9236.0,62169.0,6256.0,30939.0,4293.0,19088.0,4824.0,28799.0,4092.0,21373.0,1003.0,5466.0,2388.0,14767.0,142.0,265.0,1164.0,6560.0,162,1542,Espumante
3,Angola,11393.0,33664.0,104138.0,672533.0,904.0,14196.0,73.0,1426.0,5850.0,21060.0,6866.0,22423.0,0.0,0.0,90.0,1010.0,0.0,0.0,63.0,280.0,1007.0,3615.0,24.0,38.0,0.0,0.0,26383.0,141588.0,56242,315073,Espumante
4,Antigua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,32.0,328.0,10.0,82.0,65.0,146.0,24,100,Espumante
5,Antilhas Holandesas,180.0,1660.0,0.0,0.0,9144.0,65766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
6,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4342.0,17243.0,0.0,0.0,315.0,894.0,0.0,0.0,0.0,0.0,8593,73239,Espumante
7,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
8,Australia,0.0,0.0,0.0,0.0,0.0,0.0,1317.0,11057.0,767.0,5809.0,618.0,3951.0,235.0,1368.0,594.0,2602.0,595.0,2276.0,0.0,0.0,180.0,800.0,144.0,503.0,184.0,654.0,0.0,0.0,10,6,Espumante
9,Bahamas,0.0,0.0,146.0,795.0,1001.0,7034.0,216.0,2160.0,270.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,18.0,79.0,434.0,1033.0,179.0,461.0,56.0,194.0,65,268,Espumante
10,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0,0,Espumante
11,Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,105.0,4.0,58.0,25.0,101.0,32,219,Espumante
12,Belgica,0.0,0.0,12897.0,49742.0,0.0,0.0,7404.0,40086.0,1100.0,6078.0,104153.0,499164.0,900.0,5280.0,0.0,0.0,450.0,2646.0,1800.0,10555.0,1869.0,11405.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
13,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,181.0,0.0,0.0,0.0,0.0,3,19,Espumante
14,Bermudas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,58.0,0,0,Espumante
15,Bolívia,0.0,0.0,11960.0,5553.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,250.0,2418.0,11355.0,2624.0,12811.0,1668.0,21056.0,5891.0,25277.0,0.0,0.0,5994.0,16901.0,21235.0,64988.0,22307.0,70416.0,11410,34481,Espumante
16,Bósnia-Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,53.0,168.0,161.0,0.0,0.0,0.0,0.0,0,0,Espumante
17,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
18,Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0,0,Espumante
19,Camarões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4138.0,16077.0,90.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
20,Canada,0.0,0.0,0.0,0.0,1894.0,7716.0,640.0,4663.0,10371.0,36809.0,1847.0,13240.0,2405.0,15821.0,901.0,3821.0,0.0,0.0,23.0,94.0,2185.0,8228.0,413.0,3063.0,253.0,566.0,62.0,347.0,4068,15427,Espumante
21,Catar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3502.0,78.0,6651.0,5.0,964.0,0.0,0.0,0,0,Espumante
22,"Cayman, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,43.0,0.0,0.0,1.0,5.0,0.0,0.0,5,33,Espumante
23,Chile,1673.0,8613.0,0.0,0.0,0.0,0.0,811.0,10143.0,0.0,0.0,0.0,0.0,0.0,0.0,10340.0,41824.0,25439.0,231696.0,25481.0,208521.0,0.0,0.0,90.0,346.0,72.0,361.0,4.0,19.0,3532,15875,Espumante
24,China,0.0,0.0,416.0,1566.0,1682.0,8342.0,3219.0,25604.0,795.0,6572.0,5959.0,35190.0,23520.0,48739.0,4610.0,20931.0,11646.0,35671.0,19490.0,58871.0,26247.0,91922.0,29921.0,103986.0,13692.0,49572.0,8619.0,35079.0,16285,47822,Espumante
25,Chipre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,368.0,307.0,1019.0,122.0,350.0,382.0,931.0,188,707,Espumante
