Id,País,Categoria,Ano,Tipo,Valor
1,África do Sul,Espumante,2009,Quantidade,0.0
2,Alemanha,Espumante,2009,Quantidade,6648.0
3,Angola,Espumante,2009,Quantidade,11393.0
4,Antigua e Barbuda,Espumante,2009,Quantidade,0.0
5,Antilhas Holandesas,Espumante,2009,Quantidade,180.0
6,Argentina,Espumante,2009,Quantidade,0.0
7,Aruba,Espumante,2009,Quantidade,0.0
8,Australia,Espumante,2009,Quantidade,0.0
9,Bahamas,Espumante,2009,Quantidade,0.0
10,Bangladesh,Espumante,2009,Quantidade,0.0
11,Barbados,Espumante,2009,Quantidade,0.0
12,Belgica,Espumante,2009,Quantidade,0.0
13,Benin,Espumante,2009,Quantidade,0.0
14,Bermudas,Espumante,2009,Quantidade,0.0
15,Bolívia,Espumante,2009,Quantidade,0.0
16,Bósnia-Herzegovina,Espumante,2009,Quantidade,0.0
17,Bulgaria,Espumante,2009,Quantidade,0.0
18,Cabo Verde,Espumante,2009,Quantidade,0.0
19,Camarões,Espumante,2009,Quantidade,0.0
20,Canada,Espumante,2009,Quantidade,0.0
21,Catar,Espumante,2009,Quantidade,0.0
22,"Cayman, Ilhas",Espumante,2009,Quantidade,0.0
23,Chile,Espumante,2009,Quantidade,1673.0
24,China,Espumante,2009,Quantidade,0.0
25,Chipre,Espumante,2009,Quantidade,0.0
26,Cingapura,Espumante,2009,Quantidade,976.0
27,Colombia,Espumante,2009,Quantidade,0.0
28,"Coreia do Sul, Republica da",Espumante,2009,Quantidade,0.0
29,Costa Rica,Espumante,2009,Quantidade,0.0
30,Cuba,Espumante,2009,Quantidade,0.0
31,Curaçao,Espumante,2009,Quantidade,0.0
32,Dinamarca,Espumante,2009,Quantidade,0.0
33,Dominica,Espumante,2009,Quantidade,0.0
34,El Salvador,Espumante,2009,Quantidade,0.0
35,Emirados Arabes Unidos,Espumante,2009,Quantidade,0.0
36,Equador,Espumante,2009,Quantidade,0.0
37,Espanha,Espumante,2009,Quantidade,0.0
38,Estados Unidos,Espumante,2009,Quantidade,35695.0
39,Estonia,Espumante,2009,Quantidade,0.0
40,Falkland (Malvinas),Espumante,2009,Quantidade,0.0
41,Filipinas,Espumante,2009,Quantidade,0.0
42,Filânldia,Espumante,2009,Quantidade,0.0
43,França,Espumante,2009,Quantidade,0.0
44,Gana,Espumante,2009,Quantidade,0.0
45,Gibraltar,Espumante,2009,Quantidade,0.0
46,Granada,Espumante,2009,Quantidade,0.0
47,Grécia,Espumante,2009,Quantidade,0.0
48,Guatemala,Espumante,2009,Quantidade,0.0
49,Guiana,Espumante,2009,Quantidade,0.0
50,Guiné Equatorial,Espumante,2009,Quantidade,0.0
51,Guiné-Bissau,Espumante,2009,Quantidade,0.0
52,Haiti,Espumante,2009,Quantidade,0.0
53,Honduras,Espumante,2009,Quantidade,0.0
54,Hong Kong,Espumante,2009,Quantidade,120.0
55,Hungria,Espumante,2009,Quantidade,0.0
56,Ilha de Man,Espumante,2009,Quantidade,0.0
57,Índia,Espumante,2009,Quantidade,0.0
58,Iraque,Espumante,2009,Quantidade,0.0
59,Irlanda,Espumante,2009,Quantidade,0.0
60,Islândia,Espumante,2009,Quantidade,0.0
61,Itália,Espumante,2009,Quantidade,2369.0
62,Japão,Espumante,2009,Quantidade,2900.0
63,Jordânia,Espumante,2009,Quantidade,0.0
64,Letônia,Espumante,2009,Quantidade,0.0
65,Líbano,Espumante,2009,Quantidade,0.0
66,Libéria,Espumante,2009,Quantidade,0.0
67,Luxemburgo,Espumante,2009,Quantidade,993.0
68,Maldivas,Espumante,2009,Quantidade,0.0
69,Malta,Espumante,2009,Quantidade,0.0
70,"Marshall, Ilhas",Espumante,2009,Quantidade,0.0
71,Montenegro,Espumante,2009,Quantidade,0.0
72,México,Espumante,2009,Quantidade,0.0
73,Nicarágua,Espumante,2009,Quantidade,0.0
74,Nigéria,Espumante,2009,Quantidade,0.0
75,Noruega,Espumante,2009,Quantidade,0.0
76,Nova Zelândia,Espumante,2009,Quantidade,0.0
77,Países Baixos (Holanda),Espumante,2009,Quantidade,2250.0
78,Panamá,Espumante,2009,Quantidade,0.0
79,Paraguai,Espumante,2009,Quantidade,20099.0
80,Peru,Espumante,2009,Quantidade,0.0
81,Polônia,Espumante,2009,Quantidade,1545.0
82,Porto Rico,Espumante,2009,Quantidade,0.0
83,Portugal,Espumante,2009,Quantidade,0.0
84,Quênia,Espumante,2009,Quantidade,0.0
85,Reino Unido,Espumante,2009,Quantidade,0.0
86,Republica Dominicana,Espumante,2009,Quantidade,0.0
87,Republica Tcheca,Espumante,2009,Quantidade,395.0
88,Rússia,Espumante,2009,Quantidade,0.0
89,Serra Leoa,Espumante,2009,Quantidade,0.0
90,Singapura,Espumante,2009,Quantidade,0.0
91,Suécia,Espumante,2009,Quantidade,2070.0
92,Suíça,Espumante,2009,Quantidade,0.0
93,Suriname,Espumante,2009,Quantidade,0.0
94,Tailândia,Espumante,2009,Quantidade,0.0
95,Taiwan (Formosa),Espumante,2009,Quantidade,0.0
96,"Tcheca, República",Espumante,2009,Quantidade,0.0
97,Trinidade e Tobago,Espumante,2009,Quantidade,0.0
98,Turquia,Espumante,2009,Quantidade,0.0
99,Uruguai,Espumante,2009,Quantidade,0.0
100,Vanuatu,Espumante,2009,Quantidade,0.0
101,Venezuela,Espumante,2009,Quantidade,0.0
102,Vietnã,Espumante,2009,Quantidade,675.0
103,Outros(1),Espumante,2009,Quantidade,0.0
1,África do Sul,Suco,2009,Quantidade,0.0
2,"Alemanha, República Democrática da",Suco,2009,Quantidade,0.0
3,Angola,Suco,2009,Quantidade,237494.0
4,Antígua e Barbuda,Suco,2009,Quantidade,0.0
5,Antilhas Holandesas,Suco,2009,Quantidade,0.0
6,Arábia Saudita,Suco,2009,Quantidade,48760.0
