CATEGORIA,SUBCATEGORIA,Ano,Comercio
VINHO DE MESA,VINHO DE MESA,2009,234525979
VINHO DE MESA,Tinto,2009,193004182
VINHO DE MESA,Rosado,2009,2307580
VINHO DE MESA,Branco,2009,39214217
VINHO  FINO DE MESA,VINHO  FINO DE MESA,2009,33080270
VINHO  FINO DE MESA,Tinto,2009,19576295
VINHO  FINO DE MESA,Rosado,2009,213835
VINHO  FINO DE MESA,Branco,2009,13290140
VINHO FRIZANTE,VINHO FRIZANTE,2009,1003596
VINHO ORGÂNICO,VINHO ORGÂNICO,2009,0
VINHO ESPECIAL,VINHO ESPECIAL,2009,113
VINHO ESPECIAL,Tinto,2009,113
VINHO ESPECIAL,Rosado,2009,0
VINHO ESPECIAL,Branco,2009,0
ESPUMANTES,ESPUMANTES,2009,11242890
ESPUMANTES,Espumante  Moscatel,2009,2500230
ESPUMANTES,Espumante,2009,8742660
ESPUMANTES,Espumante Orgânico,2009,0
SUCO DE UVAS,SUCO DE UVAS,2009,29131455
SUCO DE UVAS,Suco Natural Integral,2009,0
SUCO DE UVAS,Suco Adoçado,2009,0
SUCO DE UVAS,Suco Reprocessado/reconstituido,2009,0
SUCO DE UVAS,Suco Orgânico,2009,0
SUCO DE UVAS,Outros sucos de uvas,2009,0
SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,2009,31861857
OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,2009,26554757
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),2009,0
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",2009,6745427
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),2009,21133
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,2009,1279586
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,2009,12000
OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),2009,7151
OUTROS PRODUTOS COMERCIALIZADOS,Cooler,2009,4561959
OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,2009,1354734
OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,2009,100
OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,2009,6533888
OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,2009,14443
OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,2009,7034
OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,2009,4933019
OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,2009,418132
