id_Comercio,control_Comercio,Produto,Ano,Quantidade_Comercio,Categoria,Subcategoria,id_Producao,control_Producao,produto,Quantidade_Producao
,,,2009,0.0,Derivados,Bagaceira,39.0,de_Bagaceira,Bagaceira,6500.0
,,,2009,0.0,Derivados,Base Champenoise champanha,20.0,de_Base Champenoise champanha,Base Champenoise champanha,0.0
,,,2009,0.0,Derivados,Base Charmat champanha,21.0,de_Base Charmat champanha,Base Charmat champanha,0.0
,,,2009,0.0,Derivados,Base espumante,18.0,de_Base espumante,Base espumante,335850.0
,,,2009,0.0,Derivados,Base espumante moscatel,19.0,de_Base espumante moscatel,Base espumante moscatel,442150.0
,,,2009,0.0,Derivados,Bebida de uva,22.0,de_Bebida de uva,Bebida de uva,420.0
,,,2009,0.0,Derivados,Borra líquida,42.0,de_Borra líquida,Borra líquida,0.0
,,,2009,0.0,Derivados,Borra seca,43.0,de_Borra seca,Borra seca,0.0
,,,2009,0.0,Derivados,Brandy,37.0,de_Brandy,Brandy,0.0
,,,2009,0.0,Derivados,Compostos,31.0,de_Compostos,Compostos,0.0
,,,2009,0.0,Derivados,Destilado,38.0,de_Destilado,Destilado,0.0
,,,2009,0.0,Derivados,Destilado alcoólico simples de bagaceira,48.0,de_Destilado alcoólico simples de bagaceira ,Destilado alcoólico simples de bagaceira ,0.0
,,,2009,0.0,Derivados,Espumante,16.0,de_Espumante,Espumante,0.0
,,,2009,0.0,Derivados,Espumante moscatel,17.0,de_Espumante moscatel,Espumante moscatel,1190500.0
,,,2009,0.0,Derivados,Espumante orgânico,47.0,de_Espumante orgânico,Espumante orgânico,0.0
,,,2009,0.0,Derivados,Filtrado,33.0,de_Filtrado,Filtrado,0.0
,,,2009,0.0,Derivados,Frisante,34.0,de_Frisante,Frisante,0.0
,,,2009,0.0,Derivados,Jeropiga,32.0,de_Jeropiga,Jeropiga,0.0
,,,2009,0.0,Derivados,Licor de bagaceira,40.0,de_Licor de bagaceira,Licor de bagaceira,0.0
,,,2009,0.0,Derivados,Licorosos,30.0,de_Licorosos,Licorosos,38000.0
,,,2009,0.0,Derivados,Mistelas,28.0,de_Mistelas,Mistelas,3500.0
,,,2009,0.0,Derivados,Mosto concentrado,25.0,de_Mosto concentrado,Mosto concentrado,0.0
,,,2009,0.0,Derivados,Mosto de uva com bagaço,26.0,de_Mosto de uva com bagaço,Mosto de uva com bagaço,0.0
,,,2009,0.0,Derivados,Mosto dessulfitado,27.0,de_Mosto dessulfitado,Mosto dessulfitado,0.0
,,,2009,0.0,Derivados,Mosto parcialmente fermentado,50.0,de_Mosto parcialmente fermentado ,Mosto parcialmente fermentado ,0.0
,,,2009,0.0,Derivados,Mosto simples,24.0,de_Mosto simples,Mosto simples,53418555.0
,,,2009,0.0,Derivados,Néctar de uva,29.0,de_Néctar de uva,Néctar de uva,0.0
,,,2009,0.0,Derivados,Outros derivados,51.0,de_Outros derivados,Outros derivados,0.0
,,,2009,0.0,Derivados,Pisco,45.0,de_Pisco,Pisco,0.0
,,,2009,0.0,Derivados,Polpa de uva,23.0,de_Polpa de uva,Polpa de uva,1352417.0
,,,2009,0.0,Derivados,Vinagre,41.0,de_Vinagre,Vinagre,0.0
,,,2009,0.0,Derivados,Vinho Composto,44.0,de_Vinho Composto,Vinho Composto,0.0
,,,2009,0.0,Derivados,Vinho acidificado,49.0,de_Vinho acidificado ,Vinho acidificado ,0.0
,,,2009,0.0,Derivados,Vinho leve,35.0,de_Vinho leve,Vinho leve,0.0
,,,2009,0.0,Derivados,Vinho licoroso,36.0,de_Vinho licoroso,Vinho licoroso,0.0
,,,2009,0.0,Derivados,Vinho orgânico,46.0,de_Vinho orgânico,Vinho orgânico,0.0
17.0,es_Espumante,  Espumante,2009,8742660.0,Espumantes,Espumante,,,,0.0
16.0,es_Espumante_Moscatel,  Espumante  Moscatel,2009,2500230.0,Espumantes,Espumante  Moscatel,,,,0.0
18.0,es_Espumante Orgânico,  Espumante Orgânico,2009,0.0,Espumantes,Espumante Orgânico,,,,0.0
28.0,ou_Agrin,"  Agrin (fermentado, acetico misto)",2009,6745427.0,Outros Produtos Comercializados,"Agrin (fermentado, acetico misto)",,,,0.0
29.0,ou_Aguardente,  Aguardente de vinho 50°gl,2009,0.0,Outros Produtos Comercializados,Aguardente de vinho 50°gl,,,,0.0
30.0,ou_Alcool_vinico,  Alcool vinico,2009,0.0,Outros Produtos Comercializados,Alcool vinico,,,,0.0
31.0,ou_Bagaceira,  Bagaceira (graspa),2009,21133.0,Outros Produtos Comercializados,Bagaceira (graspa),,,,0.0
32.0,ou_Base_champenoise,  Base champenoise champanha,2009,0.0,Outros Produtos Comercializados,Base champenoise champanha,,,,0.0
33.0,ou_Base_charmat,  Base charmat champanha,2009,0.0,Outros Produtos Comercializados,Base charmat champanha,,,,0.0
34.0,ou_Base_espumante,  Base espumante moscatel,2009,0.0,Outros Produtos Comercializados,Base espumante moscatel,,,,0.0
35.0,ou_Bebida,  Bebida de uva,2009,1279586.0,Outros Produtos Comercializados,Bebida de uva,,,,0.0
36.0,ou_Borra_liqwuida,  Borra líquida,2009,12000.0,Outros Produtos Comercializados,Borra líquida,,,,0.0
37.0,ou_Borra_seca,  Borra seca,2009,0.0,Outros Produtos Comercializados,Borra seca,,,,0.0
38.0,ou_Brandy,  Brandy (conhaque),2009,7151.0,Outros Produtos Comercializados,Brandy (conhaque),,,,0.0
39.0,ou_Cooler,  Cooler,2009,4561959.0,Outros Produtos Comercializados,Cooler,,,,0.0
40.0,ou_Coquetel,  Coquetel com vinho,2009,1354734.0,Outros Produtos Comercializados,Coquetel com vinho,,,,0.0
41.0,ou_Destilado,  Destilado de vinho,2009,100.0,Outros Produtos Comercializados,Destilado de vinho,,,,0.0
42.0,ou_Filtrado_doce,  Filtrado doce,2009,6533888.0,Outros Produtos Comercializados,Filtrado doce,,,,0.0
43.0,ou_Jeropiga,  Jeropiga,2009,14443.0,Outros Produtos Comercializados,Jeropiga,,,,0.0
44.0,ou_Mistelas,  Mistelas,2009,7034.0,Outros Produtos Comercializados,Mistelas,,,,0.0
45.0,ou_Mosto_concentrado,  Mosto concentrado,2009,0.0,Outros Produtos Comercializados,Mosto concentrado,,,,0.0
46.0,ou_Mosto_uva,  Mosto de uva,2009,0.0,Outros Produtos Comercializados,Mosto de uva,,,,0.0
47.0,ou_Mosto_sulfitado,  Mosto sulfitado,2009,0.0,Outros Produtos Comercializados,Mosto sulfitado,,,,0.0
48.0,ou_Nectar,  Nectar de uva,2009,4933019.0,Outros Produtos Comercializados,Nectar de uva,,,,0.0
49.0,ou_Outros_produtos,  Outros produtos,2009,418132.0,Outros Produtos Comercializados,Outros produtos,,,,0.0
27.0,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),2009,0.0,Outros Produtos Comercializados,Outros vinhos (sem informação detalhada),,,,0.0
50.0,ou_Polpa,  Polpa de uva,2009,1339958.0,Outros Produtos Comercializados,Polpa de uva,,,,0.0
51.0,ou_Preparado_líquido,  Preparado líquido para refresco,2009,467005.0,Outros Produtos Comercializados,Preparado líquido para refresco,,,,0.0
