CATEGORIA,SUBCATEGORIA,Ano,Producao,Comercio
VINHO DE MESA,VINHO DE MESA,2009.0,205418206.0,234525979.0
VINHO DE MESA,Tinto,2009.0,164143454.0,193004182.0
VINHO DE MESA,Branco,2009.0,39211278.0,39214217.0
VINHO DE MESA,Rosado,2009.0,2063474.0,2307580.0
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2009.0,39900568.0,
VINHO FINO DE MESA,Tinto,2009.0,18209043.0,
VINHO FINO DE MESA,Branco,2009.0,21366975.0,
VINHO FINO DE MESA,Rosado,2009.0,324550.0,
SUCO,SUCO,2009.0,39715098.0,
SUCO,Suco de uva integral,2009.0,16034003.0,
SUCO,Suco de uva concentrado,2009.0,23006457.0,
SUCO,Suco de uva adoçado,2009.0,674638.0,
SUCO,Suco de uva orgânico,2009.0,0.0,
SUCO,Suco de uva reconstituído,2009.0,0.0,
DERIVADOS,DERIVADOS,2009.0,56787892.0,
DERIVADOS,Espumante,2009.0,0.0,
DERIVADOS,Espumante moscatel,2009.0,1190500.0,
DERIVADOS,Base espumante,2009.0,335850.0,
DERIVADOS,Base espumante moscatel,2009.0,442150.0,
DERIVADOS,Base Champenoise champanha,2009.0,0.0,
DERIVADOS,Base Charmat champanha,2009.0,0.0,
DERIVADOS,Bebida de uva,2009.0,420.0,
DERIVADOS,Polpa de uva,2009.0,1352417.0,
DERIVADOS,Mosto simples,2009.0,53418555.0,
DERIVADOS,Mosto concentrado,2009.0,0.0,
DERIVADOS,Mosto de uva com bagaço,2009.0,0.0,
DERIVADOS,Mosto dessulfitado,2009.0,0.0,
DERIVADOS,Mistelas,2009.0,3500.0,
DERIVADOS,Néctar de uva,2009.0,0.0,
DERIVADOS,Licorosos,2009.0,38000.0,
DERIVADOS,Compostos,2009.0,0.0,
DERIVADOS,Jeropiga,2009.0,0.0,
DERIVADOS,Filtrado,2009.0,0.0,
DERIVADOS,Frisante,2009.0,0.0,
DERIVADOS,Vinho leve,2009.0,0.0,
DERIVADOS,Vinho licoroso,2009.0,0.0,
DERIVADOS,Brandy,2009.0,0.0,
DERIVADOS,Destilado,2009.0,0.0,
DERIVADOS,Bagaceira,2009.0,6500.0,
DERIVADOS,Licor de bagaceira,2009.0,0.0,
DERIVADOS,Vinagre,2009.0,0.0,
DERIVADOS,Borra líquida,2009.0,0.0,
DERIVADOS,Borra seca,2009.0,0.0,
DERIVADOS,Vinho Composto,2009.0,0.0,
DERIVADOS,Pisco,2009.0,0.0,
DERIVADOS,Vinho orgânico,2009.0,0.0,
DERIVADOS,Espumante orgânico,2009.0,0.0,
DERIVADOS,Destilado alcoólico simples de bagaceira,2009.0,0.0,
DERIVADOS,Vinho acidificado,2009.0,0.0,
DERIVADOS,Mosto parcialmente fermentado,2009.0,0.0,
DERIVADOS,Outros derivados,2009.0,0.0,
VINHO DE MESA,VINHO DE MESA,2010.0,195267980.0,221242945.0
VINHO DE MESA,Tinto,2010.0,157290088.0,188649074.0
VINHO DE MESA,Branco,2010.0,35408083.0,30556943.0
VINHO DE MESA,Rosado,2010.0,2569809.0,2036928.0
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2010.0,24805713.0,
VINHO FINO DE MESA,Tinto,2010.0,11401406.0,
VINHO FINO DE MESA,Branco,2010.0,13013027.0,
VINHO FINO DE MESA,Rosado,2010.0,391280.0,
SUCO,SUCO,2010.0,50125944.0,
SUCO,Suco de uva integral,2010.0,26887259.0,
SUCO,Suco de uva concentrado,2010.0,23238685.0,
SUCO,Suco de uva adoçado,2010.0,0.0,
SUCO,Suco de uva orgânico,2010.0,0.0,
SUCO,Suco de uva reconstituído,2010.0,0.0,
DERIVADOS,DERIVADOS,2010.0,51210756.0,
DERIVADOS,Espumante,2010.0,10125.0,
DERIVADOS,Espumante moscatel,2010.0,703393.0,
DERIVADOS,Base espumante,2010.0,0.0,
DERIVADOS,Base espumante moscatel,2010.0,1144508.0,
DERIVADOS,Base Champenoise champanha,2010.0,92082.0,
DERIVADOS,Base Charmat champanha,2010.0,254000.0,
DERIVADOS,Bebida de uva,2010.0,7900.0,
DERIVADOS,Polpa de uva,2010.0,1951606.0,
DERIVADOS,Mosto simples,2010.0,45912040.0,
DERIVADOS,Mosto concentrado,2010.0,0.0,
DERIVADOS,Mosto de uva com bagaço,2010.0,0.0,
DERIVADOS,Mosto dessulfitado,2010.0,0.0,
DERIVADOS,Mistelas,2010.0,0.0,
DERIVADOS,Néctar de uva,2010.0,0.0,
DERIVADOS,Licorosos,2010.0,0.0,
DERIVADOS,Compostos,2010.0,0.0,
DERIVADOS,Jeropiga,2010.0,69000.0,
DERIVADOS,Filtrado,2010.0,0.0,
DERIVADOS,Frisante,2010.0,831000.0,
DERIVADOS,Vinho leve,2010.0,0.0,
DERIVADOS,Vinho licoroso,2010.0,15000.0,
DERIVADOS,Brandy,2010.0,0.0,
DERIVADOS,Destilado,2010.0,0.0,
DERIVADOS,Bagaceira,2010.0,0.0,
DERIVADOS,Licor de bagaceira,2010.0,0.0,
DERIVADOS,Vinagre,2010.0,5817.0,
DERIVADOS,Borra líquida,2010.0,64304.0,
DERIVADOS,Borra seca,2010.0,149981.0,
DERIVADOS,Vinho Composto,2010.0,0.0,
DERIVADOS,Pisco,2010.0,0.0,
DERIVADOS,Vinho orgânico,2010.0,0.0,
DERIVADOS,Espumante orgânico,2010.0,0.0,
DERIVADOS,Destilado alcoólico simples de bagaceira,2010.0,0.0,
DERIVADOS,Vinho acidificado,2010.0,0.0,
DERIVADOS,Mosto parcialmente fermentado,2010.0,0.0,
DERIVADOS,Outros derivados,2010.0,0.0,
VINHO DE MESA,VINHO DE MESA,2011.0,257840749.0,230310468.0
VINHO DE MESA,Tinto,2011.0,210113358.0,196562722.0
VINHO DE MESA,Branco,2011.0,46007504.0,32078923.0
VINHO DE MESA,Rosado,2011.0,1719887.0,1668823.0
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2011.0,47598471.0,
VINHO FINO DE MESA,Tinto,2011.0,24104740.0,
VINHO FINO DE MESA,Branco,2011.0,22739426.0,
VINHO FINO DE MESA,Rosado,2011.0,754305.0,
SUCO,SUCO,2011.0,69364324.0,
SUCO,Suco de uva integral,2011.0,39487800.0,
SUCO,Suco de uva concentrado,2011.0,29564324.0,
SUCO,Suco de uva adoçado,2011.0,312200.0,
SUCO,Suco de uva orgânico,2011.0,0.0,
SUCO,Suco de uva reconstituído,2011.0,0.0,
DERIVADOS,DERIVADOS,2011.0,85748723.0,
DERIVADOS,Espumante,2011.0,26361.0,
DERIVADOS,Espumante moscatel,2011.0,219100.0,
DERIVADOS,Base espumante,2011.0,0.0,
DERIVADOS,Base espumante moscatel,2011.0,2749540.0,
DERIVADOS,Base Champenoise champanha,2011.0,74746.0,
DERIVADOS,Base Charmat champanha,2011.0,865858.0,
DERIVADOS,Bebida de uva,2011.0,0.0,
DERIVADOS,Polpa de uva,2011.0,2480120.0,
DERIVADOS,Mosto simples,2011.0,77285998.0,
DERIVADOS,Mosto concentrado,2011.0,0.0,
DERIVADOS,Mosto de uva com bagaço,2011.0,1037600.0,
DERIVADOS,Mosto dessulfitado,2011.0,0.0,
DERIVADOS,Mistelas,2011.0,0.0,
DERIVADOS,Néctar de uva,2011.0,0.0,
DERIVADOS,Licorosos,2011.0,0.0,
DERIVADOS,Compostos,2011.0,0.0,
DERIVADOS,Jeropiga,2011.0,0.0,
DERIVADOS,Filtrado,2011.0,0.0,
DERIVADOS,Frisante,2011.0,1003800.0,
