CATEGORIA,SUBCATEGORIA,Ano,Producao,Comercio
VINHO DE MESA,VINHO DE MESA,2009,205418206,234525979
VINHO DE MESA,Tinto,2009,164143454,193004182
VINHO DE MESA,Branco,2009,39211278,39214217
VINHO DE MESA,Rosado,2009,2063474,2307580
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2009,39900568,0
VINHO FINO DE MESA,Tinto,2009,18209043,0
VINHO FINO DE MESA,Branco,2009,21366975,0
VINHO FINO DE MESA,Rosado,2009,324550,0
SUCO,SUCO,2009,39715098,0
SUCO,Suco de uva integral,2009,16034003,0
SUCO,Suco de uva concentrado,2009,23006457,0
SUCO,Suco de uva adoçado,2009,674638,0
SUCO,Suco de uva orgânico,2009,0,0
SUCO,Suco de uva reconstituído,2009,0,0
DERIVADOS,DERIVADOS,2009,56787892,0
DERIVADOS,Espumante,2009,0,0
DERIVADOS,Espumante moscatel,2009,1190500,0
DERIVADOS,Base espumante,2009,335850,0
DERIVADOS,Base espumante moscatel,2009,442150,0
DERIVADOS,Base Champenoise champanha,2009,0,0
DERIVADOS,Base Charmat champanha,2009,0,0
DERIVADOS,Bebida de uva,2009,420,0
DERIVADOS,Polpa de uva,2009,1352417,0
DERIVADOS,Mosto simples,2009,53418555,0
DERIVADOS,Mosto concentrado,2009,0,0
DERIVADOS,Mosto de uva com bagaço,2009,0,0
DERIVADOS,Mosto dessulfitado,2009,0,0
DERIVADOS,Mistelas,2009,3500,0
DERIVADOS,Néctar de uva,2009,0,0
DERIVADOS,Licorosos,2009,38000,0
DERIVADOS,Compostos,2009,0,0
DERIVADOS,Jeropiga,2009,0,0
DERIVADOS,Filtrado,2009,0,0
DERIVADOS,Frisante,2009,0,0
DERIVADOS,Vinho leve,2009,0,0
DERIVADOS,Vinho licoroso,2009,0,0
DERIVADOS,Brandy,2009,0,0
DERIVADOS,Destilado,2009,0,0
DERIVADOS,Bagaceira,2009,6500,0
DERIVADOS,Licor de bagaceira,2009,0,0
DERIVADOS,Vinagre,2009,0,0
DERIVADOS,Borra líquida,2009,0,0
DERIVADOS,Borra seca,2009,0,0
DERIVADOS,Vinho Composto,2009,0,0
DERIVADOS,Pisco,2009,0,0
DERIVADOS,Vinho orgânico,2009,0,0
DERIVADOS,Espumante orgânico,2009,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2009,0,0
DERIVADOS,Vinho acidificado,2009,0,0
DERIVADOS,Mosto parcialmente fermentado,2009,0,0
DERIVADOS,Outros derivados,2009,0,0
VINHO DE MESA,VINHO DE MESA,2010,195267980,221242945
VINHO DE MESA,Tinto,2010,157290088,188649074
VINHO DE MESA,Branco,2010,35408083,30556943
VINHO DE MESA,Rosado,2010,2569809,2036928
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2010,24805713,0
VINHO FINO DE MESA,Tinto,2010,11401406,0
VINHO FINO DE MESA,Branco,2010,13013027,0
VINHO FINO DE MESA,Rosado,2010,391280,0
SUCO,SUCO,2010,50125944,0
SUCO,Suco de uva integral,2010,26887259,0
SUCO,Suco de uva concentrado,2010,23238685,0
SUCO,Suco de uva adoçado,2010,0,0
SUCO,Suco de uva orgânico,2010,0,0
SUCO,Suco de uva reconstituído,2010,0,0
DERIVADOS,DERIVADOS,2010,51210756,0
DERIVADOS,Espumante,2010,10125,0
DERIVADOS,Espumante moscatel,2010,703393,0
DERIVADOS,Base espumante,2010,0,0
DERIVADOS,Base espumante moscatel,2010,1144508,0
DERIVADOS,Base Champenoise champanha,2010,92082,0
DERIVADOS,Base Charmat champanha,2010,254000,0
DERIVADOS,Bebida de uva,2010,7900,0
DERIVADOS,Polpa de uva,2010,1951606,0
DERIVADOS,Mosto simples,2010,45912040,0
DERIVADOS,Mosto concentrado,2010,0,0
DERIVADOS,Mosto de uva com bagaço,2010,0,0
DERIVADOS,Mosto dessulfitado,2010,0,0
DERIVADOS,Mistelas,2010,0,0
DERIVADOS,Néctar de uva,2010,0,0
DERIVADOS,Licorosos,2010,0,0
DERIVADOS,Compostos,2010,0,0
DERIVADOS,Jeropiga,2010,69000,0
DERIVADOS,Filtrado,2010,0,0
DERIVADOS,Frisante,2010,831000,0
DERIVADOS,Vinho leve,2010,0,0
DERIVADOS,Vinho licoroso,2010,15000,0
DERIVADOS,Brandy,2010,0,0
DERIVADOS,Destilado,2010,0,0
DERIVADOS,Bagaceira,2010,0,0
DERIVADOS,Licor de bagaceira,2010,0,0
DERIVADOS,Vinagre,2010,5817,0
DERIVADOS,Borra líquida,2010,64304,0
DERIVADOS,Borra seca,2010,149981,0
DERIVADOS,Vinho Composto,2010,0,0
DERIVADOS,Pisco,2010,0,0
DERIVADOS,Vinho orgânico,2010,0,0
DERIVADOS,Espumante orgânico,2010,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2010,0,0
DERIVADOS,Vinho acidificado,2010,0,0
DERIVADOS,Mosto parcialmente fermentado,2010,0,0
DERIVADOS,Outros derivados,2010,0,0
VINHO DE MESA,VINHO DE MESA,2011,257840749,230310468
VINHO DE MESA,Tinto,2011,210113358,196562722
VINHO DE MESA,Branco,2011,46007504,32078923
VINHO DE MESA,Rosado,2011,1719887,1668823
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2011,47598471,0
VINHO FINO DE MESA,Tinto,2011,24104740,0
VINHO FINO DE MESA,Branco,2011,22739426,0
VINHO FINO DE MESA,Rosado,2011,754305,0
SUCO,SUCO,2011,69364324,0
SUCO,Suco de uva integral,2011,39487800,0
SUCO,Suco de uva concentrado,2011,29564324,0
SUCO,Suco de uva adoçado,2011,312200,0
SUCO,Suco de uva orgânico,2011,0,0
SUCO,Suco de uva reconstituído,2011,0,0
DERIVADOS,DERIVADOS,2011,85748723,0
DERIVADOS,Espumante,2011,26361,0
DERIVADOS,Espumante moscatel,2011,219100,0
DERIVADOS,Base espumante,2011,0,0
DERIVADOS,Base espumante moscatel,2011,2749540,0
DERIVADOS,Base Champenoise champanha,2011,74746,0
DERIVADOS,Base Charmat champanha,2011,865858,0
DERIVADOS,Bebida de uva,2011,0,0
DERIVADOS,Polpa de uva,2011,2480120,0
DERIVADOS,Mosto simples,2011,77285998,0
DERIVADOS,Mosto concentrado,2011,0,0
